0,0,
0,0,
0,0,
0,0,
0,0,
0,1,
0,1,
0,1,
0,2,
0,2,
0,3,
0,3,
0,3,
0,3,
0,4,
0,4,
0,4,
0,5,
0,5,
0,6,
0,7,
0,8,
0,9,
0,9,
0,10,
0,12,
0,12,
0,15,
0,16,
0,17,
0,21,
0,25,
0,32,
0,35,
0,43,
0,46,
0,47,
0,55,
0,58,
0,59,
0,64,
0,68,
0,105,
0,117,
0,147,
0,153,
0,175,
0,179,
1,0,
1,0,
1,1,
1,2,
1,2,
1,2,
1,3,
1,4,
1,4,
1,4,
1,4,
1,4,
1,4,
1,4,
1,5,
1,6,
1,9,
1,12,
1,12,
1,16,
1,19,
1,27,
1,28,
1,35,
1,35,
1,35,
1,54,
1,62,
1,65,
1,85,
1,91,
1,96,
1,123,
1,124,
1,127,
1,137,
1,187,
1,196,
2,0,
2,0,
2,0,
2,1,
2,1,
2,1,
2,5,
2,6,
2,11,
2,13,
2,21,
2,27,
2,31,
2,46,
2,48,
2,69,
2,89,
2,169,
2,188,
3,0,
3,0,
3,1,
3,2,
3,2,
3,4,
3,5,
3,5,
3,7,
3,8,
3,9,
3,15,
3,19,
3,20,
3,21,
3,33,
3,57,
3,61,
3,82,
3,130,
4,0,
4,1,
4,1,
4,5,
4,6,
4,9,
4,10,
4,11,
4,18,
4,22,
4,22,
4,23,
4,27,
4,141,
4,162,
4,170,
5,2,
5,3,
5,4,
5,7,
5,8,
5,16,
5,20,
5,24,
5,27,
5,33,
5,98,
5,199,
6,3,
6,3,
6,14,
6,17,
6,53,
6,59,
6,84,
6,171,
7,0,
7,0,
7,5,
7,29,
7,43,
7,56,
7,118,
8,0,
8,60,
8,89,
8,111,
9,0,
9,1,
9,5,
9,20,
9,45,
9,63,
9,76,
9,158,
10,0,
10,2,
10,35,
11,0,
11,1,
11,14,
11,79,
12,0,
12,1,
12,3,
12,4,
12,7,
12,8,
12,28,
12,75,
12,136,
13,0,
13,4,
14,1,
14,5,
14,11,
14,26,
14,78,
14,110,
14,195,
15,6,
15,17,
15,86,
16,3,
16,3,
16,5,
16,8,
16,18,
16,26,
16,162,
17,3,
17,3,
17,6,
17,7,
18,3,
18,5,
18,9,
18,16,
20,8,
20,132,
21,0,
21,0,
21,1,
21,12,
22,8,
22,13,
22,51,
22,185,
23,56,
23,85,
23,108,
23,146,
24,1,
24,16,
25,0,
25,0,
25,85,
25,92,
25,178,
26,9,
26,27,
26,30,
26,33,
26,43,
27,1,
27,5,
28,0,
28,3,
29,2,
30,2,
30,16,
30,21,
30,40,
30,67,
31,4,
31,11,
31,37,
33,0,
33,9,
33,11,
33,69,
34,2,
34,30,
35,0,
35,3,
35,28,
36,0,
36,7,
36,83,
37,2,
37,3,
37,6,
37,7,
38,2,
38,7,
38,13,
39,6,
39,26,
39,34,
41,2,
41,8,
41,60,
43,0,
43,11,
43,94,
46,1,
47,2,
48,53,
48,160,
49,5,
50,2,
50,21,
51,4,
52,14,
52,36,
53,128,
53,149,
54,0,
54,20,
55,0,
57,1,
60,1,
60,108,
61,2,
61,5,
63,2,
63,21,
64,0,
64,0,
64,31,
65,81,
66,0,
68,2,
68,14,
68,80,
69,0,
70,0,
71,0,
72,6,
73,17,
75,4,
76,0,
76,13,
76,14,
77,0,
77,72,
78,113,
79,0,
80,5,
80,6,
80,27,
82,5,
82,59,
83,0,
83,9,
83,31,
84,0,
84,50,
85,5,
86,181,
88,54,
88,79,
90,165,
92,45,
96,5,
101,20,
103,21,
105,23,
106,33,
107,1,
108,50,
109,18,
109,50,
109,125,
110,27,
112,3,
114,12,
114,14,
117,0,
117,31,
118,2,
120,80,
121,82,
125,8,
126,0,
133,0,
135,21,
140,0,
140,3,
141,28,
146,0,
146,12,
152,24,
154,3,
154,49,
158,0,
158,2,
158,31,
158,44,
164,8,
165,0,
166,12,
168,4,
169,6,
172,3,
179,6,
180,4,
180,12,
180,36,
183,39,
185,1,
187,0,
189,29,
190,4,
194,85,
