0,3,48,
0,4,14,
0,6,53,
0,8,50,
0,10,113,
0,17,87,
0,22,135,
0,28,167,
0,32,16,
0,40,69,
0,42,172,
0,42,176,
0,59,90,
0,60,98,
0,65,69,
0,68,56,
0,69,166,
0,74,155,
0,77,160,
0,84,36,
0,95,158,
0,97,77,
0,100,154,
0,106,28,
0,106,86,
0,121,86,
0,125,148,
0,128,86,
0,136,52,
0,157,134,
0,164,37,
0,171,37,
0,177,22,
1,0,122,
1,9,112,
1,10,42,
1,11,72,
1,14,160,
1,18,30,
1,23,132,
1,23,133,
1,30,90,
1,33,24,
1,48,134,
1,54,43,
1,62,71,
1,73,124,
1,79,88,
1,81,142,
1,91,93,
1,95,147,
1,109,147,
1,126,94,
1,128,161,
1,133,35,
1,140,32,
1,140,118,
1,143,92,
1,156,121,
1,159,53,
1,161,106,
1,167,79,
1,169,54,
1,173,118,
1,179,107,
2,11,134,
2,30,129,
2,41,10,
2,50,76,
2,51,9,
2,55,49,
2,56,51,
2,60,66,
2,60,87,
2,68,20,
2,70,170,
2,92,18,
2,120,15,
2,121,56,
2,137,129,
2,143,64,
2,146,62,
2,148,106,
2,153,147,
2,158,86,
2,166,109,
2,168,38,
2,168,170,
2,170,60,
2,175,60,
2,179,59,
3,0,170,
3,3,105,
3,8,167,
3,9,94,
3,23,99,
3,26,22,
3,35,101,
3,35,147,
3,44,107,
3,47,25,
3,47,54,
3,48,26,
3,58,78,
3,69,140,
3,70,99,
3,79,11,
3,79,167,
3,90,112,
3,99,24,
3,110,45,
3,113,52,
3,126,104,
3,129,92,
3,138,47,
3,141,70,
3,145,86,
3,148,31,
3,158,49,
3,159,109,
3,174,162,
4,0,55,
4,0,92,
4,2,62,
4,3,60,
4,14,61,
4,20,163,
4,35,6,
4,45,20,
4,61,38,
4,73,12,
4,84,116,
4,85,158,
4,98,55,
4,98,145,
4,107,55,
4,107,125,
4,125,52,
4,130,179,
4,135,58,
4,143,22,
4,144,109,
4,147,37,
4,150,80,
4,151,53,
4,154,13,
4,154,96,
4,171,108,
5,0,53,
5,0,133,
5,3,161,
5,7,112,
5,12,31,
5,20,52,
5,22,118,
5,26,83,
5,27,54,
5,35,9,
5,55,159,
5,56,89,
5,57,123,
5,59,67,
5,64,165,
5,66,37,
5,68,148,
5,71,130,
5,79,68,
5,81,29,
5,90,48,
5,96,133,
5,100,91,
5,103,16,
5,103,41,
5,105,126,
5,107,16,
5,114,101,
5,115,57,
5,120,80,
5,128,83,
5,130,112,
5,143,173,
5,146,53,
5,160,12,
5,163,63,
5,163,95,
5,163,162,
5,167,16,
5,175,0,
5,175,53,
6,0,148,
6,3,154,
6,18,28,
6,18,96,
6,25,112,
6,29,178,
6,32,65,
6,37,34,
6,43,11,
6,44,99,
6,48,49,
6,51,142,
6,59,16,
6,76,101,
6,85,167,
6,86,5,
6,92,29,
6,93,42,
6,94,48,
6,102,161,
6,104,40,
6,104,144,
6,110,1,
6,112,161,
6,119,158,
6,128,164,
6,130,159,
6,136,140,
6,143,95,
6,145,12,
6,145,25,
6,146,33,
6,158,93,
6,160,67,
6,169,89,
6,169,93,
6,179,127,
7,1,133,
7,6,60,
7,15,38,
7,21,139,
7,22,93,
7,24,75,
7,32,22,
7,38,20,
7,44,21,
7,75,32,
7,75,51,
7,76,10,
7,77,98,
7,83,110,
7,87,102,
7,89,58,
7,91,18,
7,103,31,
7,103,69,
7,103,155,
7,105,102,
7,118,15,
7,120,33,
7,122,111,
7,125,167,
7,135,17,
7,142,100,
7,143,64,
7,149,152,
7,163,11,
7,176,145,
8,2,136,
8,9,91,
8,16,65,
8,26,95,
8,26,123,
8,31,104,
8,32,30,
8,33,98,
8,34,6,
8,40,7,
8,55,139,
8,57,2,
8,64,12,
8,82,177,
8,83,88,
8,83,96,
8,93,108,
8,99,110,
8,102,122,
8,120,18,
8,124,45,
8,130,60,
8,132,158,
8,141,166,
8,148,152,
8,161,36,
8,166,9,
8,166,124,
8,175,96,
9,1,9,
9,4,132,
9,5,6,
9,15,64,
9,17,53,
9,19,135,
9,23,109,
9,23,143,
9,26,43,
9,29,71,
9,40,0,
9,46,117,
9,60,50,
9,64,166,
9,80,56,
9,82,178,
9,86,39,
9,115,85,
9,120,162,
9,132,111,
9,138,12,
9,139,108,
9,139,117,
9,148,47,
9,157,111,
9,158,21,
9,164,45,
9,178,170,
10,0,73,
10,1,92,
10,2,57,
10,3,42,
10,14,149,
10,18,126,
10,26,67,
10,27,130,
10,29,21,
10,29,154,
10,37,89,
10,41,59,
10,42,145,
10,47,44,
10,50,7,
10,52,77,
10,53,156,
10,55,84,
10,55,91,
10,58,102,
10,60,141,
10,64,10,
10,77,125,
10,90,35,
10,93,69,
10,95,5,
10,95,53,
10,97,95,
10,108,108,
10,112,107,
10,117,147,
10,118,110,
10,141,71,
10,144,1,
10,150,119,
10,154,96,
10,154,145,
10,156,170,
10,160,40,
11,9,86,
11,10,13,
11,10,160,
11,18,8,
11,30,57,
11,31,158,
11,55,97,
11,61,146,
11,71,76,
11,78,41,
11,89,84,
11,95,97,
11,98,122,
11,107,135,
11,109,158,
11,117,139,
11,120,168,
11,124,81,
11,128,179,
11,129,105,
11,133,85,
11,139,12,
11,146,0,
11,155,9,
11,159,121,
11,164,119,
11,165,47,
11,166,96,
11,167,111,
11,167,154,
11,173,106,
11,176,116,
11,177,14,
12,1,47,
12,2,136,
12,7,46,
12,8,3,
12,8,157,
12,14,172,
12,26,57,
12,38,27,
12,38,138,
12,42,108,
12,54,74,
12,54,134,
12,62,27,
12,62,123,
12,64,73,
12,67,146,
